genome_id	genome_name	taxon_id	antibiotic	resistant_phenotype	measurement	measurement_sign	measurement_value	measurement_unit	laboratory_typing_method	laboratory_typing_method_version	laboratory_typing_platform	vendor	testing_standard	testing_standard_year	source
573.12900	Klebsiella pneumoniae 1	573	gentamicin	Susceptible	1		1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12900	Klebsiella pneumoniae 1	573	imipenem	Susceptible	<=0.25	<=	0.25	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12900	Klebsiella pneumoniae 1	573	levofloxacin	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12900	Klebsiella pneumoniae 1	573	meropenem	Susceptible	<=0.125	<=	0.125	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12900	Klebsiella pneumoniae 1	573	nitrofurantoin	Resistant	>64	>	64	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12900	Klebsiella pneumoniae 1	573	piperacillin_tazobactam	Susceptible	4/4		4/4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12900	Klebsiella pneumoniae 1	573	tetracycline	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12900	Klebsiella pneumoniae 1	573	tobramycin	Susceptible	1		1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12900	Klebsiella pneumoniae 1	573	trimethoprim_sulfamethoxazole	Susceptible	<=0.5/9.5	<=	0.5/9.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	amikacin	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	ampicillin	Resistant	>16	>	16	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	ampicillin_sulbactam	Intermediate	16/8		16/8	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	aztreonam	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	cefazolin	Susceptible	2		2	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	cefepime	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	cefoxitin	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	ceftazidime	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	ceftriaxone	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	cefuroxime	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	ciprofloxacin	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	gentamicin	Susceptible	1		1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	imipenem	Susceptible	<=0.25	<=	0.25	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	levofloxacin	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	meropenem	Susceptible	<=0.125	<=	0.125	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	nitrofurantoin	Susceptible	32		32	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	piperacillin_tazobactam	Susceptible	4/4		4/4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	tetracycline	Resistant	>8	>	8	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	tobramycin	Susceptible	1		1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12961	Klebsiella pneumoniae 10	573	trimethoprim_sulfamethoxazole	Resistant	>2/38	>	2/38	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	amikacin	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	ampicillin	Intermediate	16		16	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	ampicillin_sulbactam	Susceptible	8/4		8/4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	aztreonam	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	cefazolin	Susceptible	2		2	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	cefepime	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	cefoxitin	Susceptible	8		8	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	ceftazidime	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	ceftriaxone	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	cefuroxime	Susceptible	8		8	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	ciprofloxacin	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	gentamicin	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	imipenem	Susceptible	<=0.25	<=	0.25	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	levofloxacin	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	meropenem	Susceptible	<=0.125	<=	0.125	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	nitrofurantoin	Resistant	>64	>	64	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	piperacillin_tazobactam	Susceptible	8/4		8/4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	tetracycline	Susceptible	2		2	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	tobramycin	Susceptible	1		1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12980	Klebsiella pneumoniae 101	573	trimethoprim_sulfamethoxazole	Susceptible	<=0.5/9.5	<=	0.5/9.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.67358	Klebsiella pneumoniae 101683	573	cefepime		64		64	mg/L	MIC				CLSI	2018	
573.67358	Klebsiella pneumoniae 101683	573	cefepime_taniborbactam		1		1	mg/L	MIC				CLSI	2018	
573.67358	Klebsiella pneumoniae 101683	573	ceftazidime_avibactam		32		32	mg/L	MIC				CLSI	2018	
573.67358	Klebsiella pneumoniae 101683	573	ceftolozane_tazobactam		32		32	mg/L	MIC				CLSI	2018	
573.67358	Klebsiella pneumoniae 101683	573	ertapenem		32		32	mg/L	MIC				CLSI	2018	
573.67358	Klebsiella pneumoniae 101683	573	gentamicin		0.5		0.5	mg/L	MIC				CLSI	2018	
573.67358	Klebsiella pneumoniae 101683	573	imipenem		2		2	mg/L	MIC				CLSI	2018	
573.67358	Klebsiella pneumoniae 101683	573	imipenem_relebactam		0.5		0.5	mg/L	MIC				CLSI	2018	
573.67358	Klebsiella pneumoniae 101683	573	levofloxacin		>8	>	8	mg/L	MIC				CLSI	2018	
573.67358	Klebsiella pneumoniae 101683	573	meropenem		4		4	mg/L	MIC				CLSI	2018	
573.67358	Klebsiella pneumoniae 101683	573	meropenem		4		4	mg/L	MIC				CLSI	2018	
573.67358	Klebsiella pneumoniae 101683	573	piperacillin_tazobactam		>128	>	128	mg/L	MIC				CLSI	2018	
573.13002	Klebsiella pneumoniae 102	573	amikacin	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	ampicillin	Intermediate	16		16	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	ampicillin_sulbactam	Susceptible	4/2		4/2	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	aztreonam	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	cefazolin	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	cefepime	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	cefoxitin	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	ceftazidime	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	ceftriaxone	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	cefuroxime	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	ciprofloxacin	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	gentamicin	Susceptible	1		1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	imipenem	Susceptible	<=0.25	<=	0.25	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	levofloxacin	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	meropenem	Susceptible	<=0.125	<=	0.125	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	nitrofurantoin	Intermediate	64		64	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	piperacillin_tazobactam	Susceptible	4/4		4/4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	tetracycline	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	tobramycin	Susceptible	1		1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.13002	Klebsiella pneumoniae 102	573	trimethoprim_sulfamethoxazole	Susceptible	<=0.5/9.5	<=	0.5/9.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
